animal_type,count,mean,median,std,var,min,max
Dog,70431,948.29,730.00,1099.27,1208390.03,0.00,8760.00
Cat,46448,498.41,60.00,973.07,946873.19,0.00,8030.00
Other,6607,466.09,365.00,386.73,149559.20,0.00,7665.00
Bird,586,498.03,365.00,742.43,551206.77,0.00,9125.00
Livestock,22,260.14,150.00,246.59,60805.08,14.00,730.00
